                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.73578,                 3.5716,                0.30346,                0.48114,                 1.0273,                0.97312,                0.97363,                0.99015,                0.88717,                0.85468,                0.81788,                0.82782,                0.65516,                 0.5817,                 2.1287,                 0.0838,                0.33383,                0.86023,              0.0083665,              0.0083665,              0.0083665
                     35,                0.72873,                  3.512,                0.29803,                0.47519,                 1.0258,                0.97259,                0.97605,                 0.9902,                0.88833,                0.85968,                0.82152,                0.83993,                0.65972,                0.57788,                 2.0749,                0.08365,                0.33019,                0.85948,               0.008317,               0.008317,               0.008317
                     36,                0.73427,                 3.5082,                0.29511,                0.47854,                 1.0267,                0.97385,                0.97768,                0.99087,                0.88725,                0.85744,                0.82595,                0.83767,                0.65968,                0.57811,                 2.0842,                  0.083,                0.32942,                0.86041,              0.0082675,              0.0082675,              0.0082675
                     37,                0.73502,                 3.5321,                0.29825,                0.47614,                 1.0281,                 0.9712,                0.97784,                 0.9907,                0.88836,                0.85444,                0.81801,                  0.826,                 0.6558,                0.57515,                 2.1168,                0.08262,                0.32679,                0.85886,               0.008218,               0.008218,               0.008218
                     38,                0.72618,                 3.4623,                0.29311,                0.47484,                 1.0251,                0.97152,                0.97669,                0.99024,                0.88846,                0.84269,                0.80981,                0.81269,                0.65116,                0.57022,                 2.1665,                0.08175,                0.32587,                 0.8596,              0.0081685,              0.0081685,              0.0081685
                     39,                0.72597,                 3.4571,                 0.2955,                0.47462,                 1.0229,                 0.9751,                0.97848,                0.99075,                0.89013,                 0.8452,                0.81173,                0.82179,                0.65835,                0.57083,                 2.1543,                 0.0802,                 0.3266,                0.85801,               0.008119,               0.008119,               0.008119
                     40,                0.72543,                 3.4663,                0.29474,                0.47437,                 1.0255,                0.97478,                0.97567,                0.99049,                0.89045,                0.84699,                0.81032,                0.82192,                0.65928,                0.56955,                 2.1514,                0.08109,                0.32563,                0.85657,              0.0080695,              0.0080695,              0.0080695
                     41,                0.72612,                 3.4502,                0.29302,                0.47298,                 1.0233,                0.97555,                0.97605,                0.99051,                0.89174,                0.84362,                0.81762,                0.82422,                0.66255,                0.56731,                 2.1431,                0.08009,                0.32238,                0.85492,                0.00802,                0.00802,                0.00802
                     42,                 0.7228,                 3.4219,                0.29034,                0.46899,                 1.0217,                0.97347,                0.97749,                 0.9907,                 0.8915,                0.84848,                0.81647,                0.82858,                0.66787,                0.56794,                 2.1211,                0.07972,                0.32177,                0.85481,              0.0079705,              0.0079705,              0.0079705
                     43,                 0.7223,                 3.4218,                 0.2912,                0.47026,                 1.0231,                0.97483,                0.97737,                0.99083,                0.89184,                0.84757,                0.81865,                0.82964,                0.67103,                0.56755,                   2.13,                0.07957,                0.32261,                0.85484,               0.007921,               0.007921,               0.007921
                     44,                0.72089,                 3.4158,                0.29023,                 0.4712,                  1.023,                0.97425,                0.97874,                0.99086,                0.89288,                0.84637,                0.82082,                0.82945,                0.67052,                0.56408,                 2.1204,                0.07882,                0.32087,                0.85384,              0.0078715,              0.0078715,              0.0078715
                     45,                 0.7237,                 3.4291,                 0.2884,                0.46971,                 1.0241,                0.97395,                0.97874,                0.99093,                0.89342,                0.85014,                0.82287,                0.83093,                0.66863,                0.56284,                 2.1137,                0.07829,                0.31972,                0.85335,               0.007822,               0.007822,               0.007822
                     46,                0.71942,                 3.4254,                0.28734,                0.46806,                  1.021,                0.97314,                0.97894,                0.99093,                0.89387,                0.85143,                0.81839,                0.83003,                0.66857,                0.56038,                 2.1054,                0.07815,                0.31823,                 0.8524,              0.0077725,              0.0077725,              0.0077725
                     47,                0.72106,                 3.4145,                0.28646,                0.46757,                 1.0219,                 0.9729,                0.97921,                0.99105,                0.89459,                0.85331,                0.81877,                0.82978,                0.66832,                 0.5579,                 2.0909,                0.07798,                0.31681,                0.85158,               0.007723,               0.007723,               0.007723
